id,loan_status,prob
58645,1,0.9981
58646,0,0.0252
58647,1,0.6069
58648,0,0.0103
58649,0,0.0745
58650,1,0.9543
58651,0,0.0027
58652,0,0.0093
58653,0,0.2233
58654,0,0.0164
58655,0,0.0302
58656,0,0.0669
58657,0,0.0192
58658,0,0.0078
58659,0,0.0221
58660,0,0.1235
58661,0,0.0108
58662,0,0.0013
58663,0,0.0353
58664,0,0.008
58665,0,0.0257
58666,0,0.0155
58667,0,0.0038
58668,0,0.0072
58669,0,0.0108
58670,0,0.002
58671,0,0.2232
58672,0,0.0038
58673,1,0.8274
58674,0,0.0113
58675,0,0.0148
58676,0,0.2179
58677,0,0.0358
58678,0,0.0051
58679,0,0.2675
58680,1,0.9805
58681,0,0.0245
58682,0,0.0023
58683,0,0.0044
58684,0,0.2408
58685,0,0.1608
58686,0,0.0315
58687,1,0.6934
58688,0,0.0454
58689,0,0.3132
58690,0,0.0008
58691,0,0.024
58692,0,0.0237
58693,0,0.0076
58694,0,0.0266
58695,1,0.9801
58696,0,0.0201
58697,0,0.0473
58698,0,0.0175
58699,0,0.0139
58700,0,0.0073
58701,0,0.0059
58702,0,0.0252
58703,0,0.1023
58704,1,0.5857
58705,0,0.2268
58706,0,0.0117
58707,0,0.0177
58708,0,0.0304
58709,1,0.913
58710,0,0.0536
58711,1,0.9497
58712,0,0.0786
58713,0,0.0038
58714,0,0.0262
58715,0,0.0053
58716,0,0.1791
58717,0,0.0154
58718,0,0.0981
58719,0,0.0092
58720,0,0.001
58721,0,0.0475
58722,0,0.1556
58723,0,0.018
58724,0,0.0263
58725,0,0.0197
58726,0,0.0126
58727,0,0.194
58728,0,0.1375
58729,0,0.0105
58730,0,0.0056
58731,0,0.0154
58732,0,0.2072
58733,0,0.0006
58734,0,0.0166
58735,0,0.0264
58736,0,0.0585
58737,0,0.0403
58738,1,0.9914
58739,0,0.0647
58740,1,0.9384
58741,0,0.0443
58742,0,0.0055
58743,0,0.0204
58744,0,0.0066
58745,0,0.0078
58746,0,0.0596
58747,0,0.0054
58748,0,0.0157
58749,0,0.0293
58750,0,0.0092
58751,0,0.0439
58752,1,0.8266
58753,0,0.0042
58754,0,0.0771
58755,0,0.1487
58756,0,0.0048
58757,0,0.0231
58758,0,0.0103
58759,0,0.0009
58760,0,0.0015
58761,0,0.0172
58762,0,0.0035
58763,1,0.9827
58764,0,0.0017
58765,0,0.0256
58766,0,0.0122
58767,0,0.0145
58768,1,0.9374
58769,0,0.003
58770,0,0.0288
58771,0,0.0389
58772,0,0.0272
58773,0,0.0196
58774,0,0.017
58775,1,0.9597
58776,1,0.6475
58777,0,0.0102
58778,0,0.0104
58779,0,0.0314
58780,0,0.0157
58781,0,0.0185
58782,0,0.0348
58783,0,0.0457
58784,0,0.0094
58785,0,0.005
58786,0,0.1081
58787,0,0.0422
58788,0,0.1156
58789,0,0.0208
58790,0,0.0241
58791,0,0.0916
58792,0,0.0009
58793,0,0.0594
58794,0,0.0109
58795,0,0.0214
58796,0,0.0244
58797,0,0.0148
58798,0,0.0749
58799,1,0.9272
58800,0,0.0281
58801,0,0.0033
58802,1,0.8663
58803,0,0.202
58804,0,0.4602
58805,1,0.899
58806,0,0.0453
58807,0,0.012
58808,0,0.0098
58809,1,0.9521
58810,1,0.8948
58811,0,0.0229
58812,0,0.0248
58813,0,0.0291
58814,0,0.0102
58815,0,0.0072
58816,0,0.0157
58817,0,0.0017
58818,0,0.0524
58819,0,0.1108
58820,0,0.0027
58821,0,0.0248
58822,0,0.0042
58823,0,0.1439
58824,0,0.0494
58825,0,0.0014
58826,0,0.1055
58827,0,0.028
58828,0,0.0033
58829,0,0.0528
58830,0,0.0099
58831,0,0.1312
58832,0,0.0169
58833,0,0.0095
58834,0,0.0115
58835,1,0.9663
58836,0,0.0494
58837,0,0.0625
58838,0,0.0073
58839,0,0.0015
58840,0,0.0073
58841,1,0.9449
58842,0,0.0025
58843,0,0.0169
58844,0,0.0542
58845,0,0.051
58846,0,0.0006
58847,1,0.9483
58848,0,0.1643
58849,0,0.1489
58850,0,0.0292
58851,0,0.1118
58852,0,0.2687
58853,0,0.0275
58854,1,0.9884
58855,0,0.2019
58856,0,0.0032
58857,0,0.0956
58858,0,0.2388
58859,0,0.0149
58860,0,0.0059
58861,0,0.0342
58862,0,0.1644
58863,0,0.326
58864,0,0.0145
58865,1,0.52
58866,0,0.028
58867,0,0.0006
58868,0,0.0223
58869,0,0.0153
58870,0,0.1437
58871,0,0.0061
58872,0,0.0243
58873,0,0.0125
58874,1,0.9582
58875,0,0.0118
58876,0,0.0109
58877,0,0.0015
58878,0,0.0263
58879,0,0.0065
58880,0,0.0116
58881,0,0.0204
58882,0,0.0027
58883,0,0.08
58884,0,0.1367
58885,0,0.114
58886,0,0.0022
58887,1,0.9474
58888,1,0.5027
58889,1,0.9786
58890,0,0.0968
58891,0,0.3186
58892,0,0.061
58893,0,0.0115
58894,0,0.0567
58895,0,0.0039
58896,0,0.0043
58897,0,0.0299
58898,0,0.0844
58899,1,0.9551
58900,0,0.0108
58901,0,0.0701
58902,0,0.0999
58903,0,0.0045
58904,0,0.0278
58905,0,0.0038
58906,0,0.0715
58907,0,0.0416
58908,0,0.0131
58909,0,0.0496
58910,0,0.0033
58911,0,0.0172
58912,0,0.0029
58913,0,0.1526
58914,0,0.0142
58915,0,0.0166
58916,0,0.0147
58917,0,0.0549
58918,0,0.0164
58919,0,0.009
58920,0,0.2265
58921,0,0.0116
58922,0,0.031
58923,0,0.0062
58924,0,0.0352
58925,0,0.0139
58926,0,0.1802
58927,0,0.0149
58928,0,0.1297
58929,0,0.0036
58930,0,0.0151
58931,1,0.9697
58932,1,0.987
58933,0,0.185
58934,0,0.0518
58935,0,0.0208
58936,0,0.0349
58937,0,0.0136
58938,0,0.0129
58939,0,0.0088
58940,0,0.0104
58941,1,0.9635
58942,1,0.9317
58943,0,0.0172
58944,0,0.0139
58945,0,0.037
58946,0,0.0254
58947,0,0.0144
58948,0,0.0196
58949,0,0.0071
58950,1,0.5724
58951,0,0.0761
58952,0,0.0087
58953,0,0.3512
58954,1,0.9788
58955,0,0.0245
58956,0,0.0026
58957,1,0.9968
58958,1,0.9987
58959,0,0.0096
58960,0,0.0233
58961,0,0.0059
58962,0,0.1422
58963,0,0.0646
58964,0,0.0264
58965,0,0.0313
58966,0,0.0233
58967,0,0.0088
58968,0,0.009
58969,0,0.4071
58970,0,0.0052
58971,0,0.1005
58972,0,0.0546
58973,1,0.957
58974,0,0.0994
58975,0,0.0464
58976,0,0.0378
58977,0,0.0324
58978,0,0.029
58979,0,0.0232
58980,0,0.0117
58981,0,0.0024
58982,0,0.0063
58983,0,0.0046
58984,0,0.0175
58985,0,0.0242
58986,1,0.9763
58987,0,0.0057
58988,0,0.0342
58989,0,0.0276
58990,0,0.0018
58991,0,0.0177
58992,0,0.0115
58993,0,0.0032
58994,0,0.0129
58995,1,0.9948
58996,0,0.0293
58997,1,0.924
58998,0,0.0037
58999,0,0.0147
59000,0,0.0754
59001,0,0.0993
59002,0,0.1045
59003,0,0.0451
59004,0,0.0353
59005,0,0.0044
59006,0,0.0294
59007,0,0.0352
59008,1,0.9886
59009,0,0.0175
59010,0,0.0071
59011,0,0.0169
59012,0,0.0114
59013,0,0.0154
59014,0,0.0104
59015,0,0.0816
59016,0,0.0109
59017,0,0.0353
59018,0,0.0333
59019,0,0.0056
59020,0,0.0073
59021,0,0.0218
59022,0,0.0637
59023,1,0.9927
59024,0,0.0224
59025,1,0.9924
59026,0,0.0171
59027,0,0.0098
59028,0,0.0341
59029,0,0.0241
59030,0,0.0066
59031,1,0.9835
59032,1,0.7466
59033,0,0.0704
59034,0,0.0755
59035,0,0.0225
59036,0,0.0872
59037,0,0.088
59038,0,0.0099
59039,0,0.028
59040,0,0.0139
59041,0,0.0188
59042,0,0.0477
59043,1,0.9783
59044,0,0.0059
59045,0,0.0089
59046,0,0.2059
59047,0,0.2804
59048,0,0.0088
59049,0,0.036
59050,0,0.0043
59051,0,0.0263
59052,0,0.0035
59053,0,0.0282
59054,0,0.0313
59055,0,0.0476
59056,0,0.0061
59057,1,0.9605
59058,0,0.0056
59059,0,0.1739
59060,0,0.0037
59061,0,0.0034
59062,0,0.0191
59063,0,0.0027
59064,0,0.0153
59065,0,0.0015
59066,0,0.0342
59067,0,0.0061
59068,0,0.0395
59069,0,0.0285
59070,0,0.0108
59071,0,0.0706
59072,0,0.0178
59073,1,0.9633
59074,0,0.013
59075,0,0.051
59076,0,0.0166
59077,1,0.987
59078,0,0.0928
59079,0,0.0356
59080,0,0.007
59081,0,0.0256
59082,0,0.0476
59083,0,0.0063
59084,0,0.0022
59085,0,0.0379
59086,0,0.2161
59087,0,0.0562
59088,0,0.0405
59089,0,0.0474
59090,0,0.0491
59091,0,0.003
59092,0,0.1583
59093,0,0.0163
59094,0,0.0117
59095,0,0.0017
59096,1,0.9735
59097,0,0.0925
59098,0,0.0233
59099,0,0.011
59100,0,0.0047
59101,0,0.0053
59102,0,0.019
59103,0,0.0205
59104,0,0.0025
59105,0,0.0427
59106,0,0.0025
59107,0,0.0518
59108,0,0.0373
59109,0,0.0432
59110,0,0.016
59111,0,0.0086
59112,0,0.0228
59113,1,0.9855
59114,0,0.0325
59115,0,0.131
59116,0,0.0035
59117,0,0.0109
59118,0,0.025
59119,0,0.0106
59120,0,0.0048
59121,0,0.0062
59122,0,0.2458
59123,1,0.9933
59124,1,0.9376
59125,0,0.0529
59126,1,0.7919
59127,0,0.0082
59128,0,0.0228
59129,0,0.0096
59130,0,0.0142
59131,0,0.037
59132,0,0.2333
59133,1,0.8099
59134,0,0.0344
59135,0,0.0005
59136,0,0.0069
59137,0,0.0218
59138,0,0.0101
59139,0,0.0052
59140,0,0.0484
59141,1,0.9773
59142,0,0.2331
59143,0,0.016
59144,0,0.0138
59145,0,0.0527
59146,0,0.0924
59147,0,0.0248
59148,0,0.0218
59149,0,0.0136
59150,0,0.0106
59151,0,0.0199
59152,0,0.0354
59153,0,0.0036
59154,0,0.0551
59155,0,0.0658
59156,0,0.1137
59157,0,0.0094
59158,0,0.0404
59159,0,0.0172
59160,0,0.0461
59161,0,0.0096
59162,0,0.0084
59163,0,0.0169
59164,0,0.0241
59165,0,0.0982
59166,0,0.0043
59167,0,0.0229
59168,0,0.1101
59169,1,0.9668
59170,0,0.0146
59171,0,0.0088
59172,0,0.2142
59173,0,0.0025
59174,0,0.008
59175,0,0.0086
59176,0,0.0341
59177,0,0.0086
59178,0,0.0045
59179,0,0.0071
59180,0,0.1537
59181,0,0.1628
59182,1,0.9748
59183,0,0.0212
59184,0,0.0438
59185,0,0.1172
59186,0,0.011
59187,0,0.0085
59188,0,0.0249
59189,0,0.0206
59190,0,0.0044
59191,0,0.0148
59192,0,0.1486
59193,0,0.0091
59194,0,0.1318
59195,0,0.0253
59196,0,0.0301
59197,0,0.0248
59198,0,0.0475
59199,0,0.0022
59200,1,0.9954
59201,0,0.0083
59202,0,0.0071
59203,0,0.4768
59204,0,0.0128
59205,0,0.0081
59206,0,0.0051
59207,0,0.0294
59208,0,0.0089
59209,0,0.0056
59210,0,0.0193
59211,0,0.0296
59212,0,0.0355
59213,0,0.0508
59214,0,0.0412
59215,0,0.0085
59216,0,0.0258
59217,0,0.007
59218,0,0.0034
59219,0,0.0081
59220,1,0.8014
59221,1,0.9026
59222,0,0.0292
59223,0,0.0117
59224,0,0.2285
59225,0,0.0073
59226,0,0.0077
59227,0,0.1162
59228,0,0.1894
59229,0,0.0012
59230,0,0.0043
59231,0,0.0022
59232,0,0.0819
59233,0,0.0171
59234,0,0.0247
59235,0,0.0037
59236,0,0.1005
59237,0,0.0443
59238,0,0.0058
59239,0,0.2915
59240,0,0.0054
59241,0,0.0215
59242,0,0.03
59243,1,0.986
59244,0,0.0161
59245,1,0.8804
59246,0,0.0145
59247,0,0.0308
59248,0,0.007
59249,0,0.1313
59250,1,0.5272
59251,0,0.0371
59252,0,0.0138
59253,0,0.0625
59254,0,0.0238
59255,0,0.0055
59256,0,0.0027
59257,1,0.993
59258,0,0.0196
59259,1,0.9971
59260,0,0.0101
59261,0,0.0268
59262,0,0.0938
59263,0,0.0007
59264,0,0.0264
59265,0,0.4834
59266,0,0.0479
59267,0,0.2534
59268,0,0.0408
59269,0,0.0051
59270,1,0.9892
59271,0,0.0065
59272,1,0.9654
59273,0,0.0161
59274,0,0.0943
59275,0,0.0171
59276,0,0.0593
59277,0,0.0091
59278,0,0.0472
59279,0,0.0113
59280,0,0.0054
59281,0,0.063
59282,0,0.0086
59283,0,0.012
59284,0,0.006
59285,0,0.0243
59286,0,0.062
59287,0,0.0205
59288,1,0.9844
59289,0,0.0064
59290,0,0.0428
59291,0,0.0501
59292,0,0.0007
59293,0,0.0126
59294,1,0.9727
59295,0,0.3272
59296,0,0.0083
59297,0,0.0137
59298,0,0.0445
59299,0,0.0234
59300,0,0.0708
59301,0,0.0204
59302,0,0.0298
59303,0,0.033
59304,0,0.0498
59305,0,0.0982
59306,0,0.0144
59307,0,0.0134
59308,0,0.0077
59309,0,0.008
59310,0,0.0061
59311,0,0.0822
59312,0,0.1027
59313,1,0.9539
59314,0,0.437
59315,0,0.0079
59316,0,0.2871
59317,0,0.0351
59318,0,0.0211
59319,0,0.0571
59320,0,0.015
59321,0,0.0652
59322,0,0.0797
59323,0,0.0452
59324,1,0.799
59325,0,0.029
59326,0,0.0161
59327,0,0.0353
59328,0,0.019
59329,0,0.0193
59330,0,0.0452
59331,0,0.0225
59332,0,0.0123
59333,0,0.0042
59334,0,0.0455
59335,0,0.0165
59336,0,0.0478
59337,0,0.0116
59338,0,0.0666
59339,0,0.357
59340,0,0.4647
59341,0,0.0523
59342,0,0.0971
59343,0,0.0112
59344,0,0.0532
59345,0,0.0118
59346,0,0.0121
59347,0,0.0753
59348,0,0.0158
59349,0,0.0334
59350,0,0.0208
59351,0,0.0336
59352,0,0.0687
59353,1,0.9599
59354,1,0.9134
59355,0,0.0016
59356,0,0.0064
59357,0,0.0072
59358,0,0.0248
59359,0,0.0234
59360,1,0.9887
59361,0,0.0085
59362,0,0.4584
59363,0,0.0027
59364,0,0.0027
59365,0,0.0046
59366,0,0.005
59367,0,0.0394
59368,1,0.9262
59369,0,0.0429
59370,0,0.0083
59371,0,0.0063
59372,1,0.5412
