sepal_length,sepal_width,petal_length,petal_width,species,setosa,versicolor,virginica
5.5,2.5,4.0,1.3,versicolor,0.0067,0.9663,0.027
6.9,3.1,5.1,2.3,virginica,0.0115,0.0166,0.9719
5.1,2.5,3.0,1.1,versicolor,0.0297,0.9571,0.0131
4.4,2.9,,0.2,setosa,0.5224,0.3919,0.0857
5.9,3.0,5.1,1.8,virginica,0.0102,0.2044,0.7855
5.5,3.5,1.3,0.2,setosa,0.9671,0.0198,0.0131
5.6,,3.6,1.3,versicolor,0.0273,0.9657,0.007
6.5,3.0,5.2,2.0,virginica,0.008,0.0286,0.9634
5.3,3.7,1.5,0.2,setosa,0.9723,0.0168,0.0109
5.1,3.4,1.5,,setosa,0.7979,0.1548,0.0474
6.1,2.8,4.0,1.3,versicolor,0.0103,0.9826,0.0071
5.5,2.4,3.7,1.0,versicolor,0.0114,0.9808,0.0078
7.7,3.0,6.1,2.3,virginica,0.0221,0.0228,0.9552
6.9,3.1,4.9,1.5,versicolor,0.0174,0.8171,0.1655
6.0,2.2,5.0,1.5,virginica,0.0182,0.4772,0.5046
